age,job,marital,education,default,balance,housing,loan,contact,day_of_week,month,campaign,pdays,previous,poutcome,y,had_previous_contact,campaign_log,previous_log
67,technician,married,tertiary,no,5012,no,no,cellular,16,jul,4,228,3,failure,no,1,0.6931471805599453,1.3862943611198906
52,blue-collar,married,secondary,no,1370,yes,no,unknown,6,jun,4,-1,0,no_previous_contact,no,0,0.6931471805599453,0.0
41,technician,single,tertiary,no,-134,yes,no,cellular,13,aug,4,90,1,success,no,1,0.6931471805599453,0.6931471805599453
48,management,divorced,tertiary,no,1786,yes,no,unknown,15,may,12,-1,0,no_previous_contact,no,0,2.302585092994046,0.0
60,services,single,primary,no,3786,yes,no,unknown,3,jun,9,-1,0,no_previous_contact,yes,0,1.9459101490553128,0.0
61,technician,single,secondary,no,3516,yes,no,cellular,18,nov,4,-1,0,no_previous_contact,no,0,0.6931471805599453,0.0
57,blue-collar,married,secondary,no,750,yes,no,unknown,6,jun,8,-1,0,no_previous_contact,no,0,1.791759469228055,0.0
75,retired,married,secondary,no,60,no,no,cellular,22,aug,7,-1,0,no_previous_contact,no,0,1.6094379124341005,0.0
64,management,married,tertiary,no,2622,yes,no,cellular,8,may,4,-1,0,no_previous_contact,yes,0,0.6931471805599453,0.0
69,management,divorced,tertiary,no,0,yes,no,cellular,7,may,4,297,3,failure,no,1,0.6931471805599453,1.3862943611198906
44,technician,single,tertiary,no,3338,no,no,cellular,3,feb,4,-1,0,no_previous_contact,yes,0,0.6931471805599453,0.0
46,self-employed,single,tertiary,no,3630,no,no,telephone,9,feb,4,-1,0,no_previous_contact,yes,0,0.6931471805599453,0.0
62,management,married,secondary,no,1246,yes,no,cellular,13,may,9,-1,0,no_previous_contact,no,0,1.9459101490553128,0.0
63,management,married,tertiary,no,1084,yes,no,unknown,16,may,4,-1,0,no_previous_contact,no,0,0.6931471805599453,0.0
54,management,single,tertiary,no,336,no,no,cellular,28,jul,12,-1,0,no_previous_contact,no,0,2.302585092994046,0.0
73,technician,married,secondary,no,14990,yes,no,unknown,13,may,4,-1,0,no_previous_contact,no,0,0.6931471805599453,0.0
56,blue-collar,married,secondary,no,20,yes,no,cellular,12,may,4,-1,0,no_previous_contact,no,0,0.6931471805599453,0.0
63,technician,single,secondary,no,1914,no,no,cellular,26,aug,8,-1,0,no_previous_contact,no,0,1.791759469228055,0.0
69,services,divorced,secondary,no,2024,yes,no,cellular,12,may,6,175,2,other,no,1,1.3862943611198906,1.0986122886681098
49,admin.,single,secondary,no,532,yes,no,cellular,6,apr,5,-1,0,no_previous_contact,no,0,1.0986122886681098,0.0
46,self-employed,married,tertiary,no,6440,no,no,cellular,26,aug,7,-1,0,no_previous_contact,no,0,1.6094379124341005,0.0
46,unemployed,married,secondary,no,6484,no,no,unknown,25,jun,5,-1,0,no_previous_contact,no,0,1.0986122886681098,0.0
50,management,married,tertiary,no,3602,no,no,cellular,20,nov,4,-1,0,no_previous_contact,no,0,0.6931471805599453,0.0
53,blue-collar,married,secondary,no,3462,yes,yes,cellular,14,may,5,350,4,failure,no,1,1.0986122886681098,1.6094379124341005
49,admin.,single,secondary,no,1114,no,no,cellular,17,nov,4,-1,0,no_previous_contact,yes,0,0.6931471805599453,0.0
68,management,married,tertiary,no,14498,yes,yes,cellular,19,nov,4,-1,0,no_previous_contact,no,0,0.6931471805599453,0.0
45,services,married,secondary,no,-596,no,yes,cellular,10,jul,4,-1,0,no_previous_contact,no,0,0.6931471805599453,0.0
65,unemployed,divorced,tertiary,no,128,no,no,cellular,31,jul,9,-1,0,no_previous_contact,no,0,1.9459101490553128,0.0
51,management,single,tertiary,no,3752,no,no,cellular,4,may,4,-1,0,no_previous_contact,no,0,0.6931471805599453,0.0
70,technician,married,secondary,no,1034,yes,yes,unknown,19,may,7,-1,0,no_previous_contact,no,0,1.6094379124341005,0.0
56,unknown,single,primary,no,4796,yes,no,unknown,8,may,5,-1,0,no_previous_contact,no,0,1.0986122886681098,0.0
41,blue-collar,single,primary,no,72,no,yes,cellular,31,jul,35,-1,0,no_previous_contact,no,0,3.49650756146648,0.0
72,entrepreneur,married,unknown,no,41168,no,no,telephone,31,jul,5,-1,0,no_previous_contact,no,0,1.0986122886681098,0.0
62,blue-collar,married,secondary,no,7260,yes,no,unknown,14,may,7,-1,0,no_previous_contact,no,0,1.6094379124341005,0.0
54,blue-collar,married,primary,no,1626,yes,no,unknown,8,may,5,-1,0,no_previous_contact,no,0,1.0986122886681098,0.0
41,blue-collar,married,secondary,no,980,yes,no,unknown,23,jun,8,-1,0,no_previous_contact,no,0,1.791759469228055,0.0
57,blue-collar,divorced,secondary,no,2522,yes,yes,cellular,10,jul,4,-1,0,no_previous_contact,no,0,0.6931471805599453,0.0
73,housemaid,divorced,primary,no,7716,no,no,telephone,29,jul,9,-1,0,no_previous_contact,no,0,1.9459101490553128,0.0
50,management,divorced,tertiary,no,1542,yes,yes,cellular,19,nov,4,93,5,failure,no,1,0.6931471805599453,1.791759469228055
49,blue-collar,married,secondary,no,3150,yes,no,unknown,27,may,6,-1,0,no_previous_contact,no,0,1.3862943611198906,0.0
59,technician,married,secondary,no,0,no,no,unknown,16,jun,4,-1,0,no_previous_contact,no,0,0.6931471805599453,0.0
64,management,divorced,tertiary,no,1828,no,no,cellular,4,aug,4,-1,0,no_previous_contact,yes,0,0.6931471805599453,0.0
43,technician,married,tertiary,no,1716,yes,no,cellular,17,jul,4,-1,0,no_previous_contact,no,0,0.6931471805599453,0.0
40,management,married,unknown,no,896,no,no,cellular,5,feb,4,297,1,success,yes,1,0.6931471805599453,0.6931471805599453
49,services,married,secondary,no,5912,no,no,cellular,6,aug,5,-1,0,no_previous_contact,yes,0,1.0986122886681098,0.0
56,management,married,secondary,no,3912,no,no,cellular,4,may,9,168,11,other,no,1,1.9459101490553128,2.4849066497880004
62,technician,married,tertiary,no,426,no,no,cellular,1,jun,4,-1,0,no_previous_contact,no,0,0.6931471805599453,0.0
47,management,single,tertiary,no,2746,yes,no,unknown,21,may,5,-1,0,no_previous_contact,no,0,1.0986122886681098,0.0
82,retired,married,primary,no,8132,no,no,cellular,2,apr,9,-1,0,no_previous_contact,no,0,1.9459101490553128,0.0
44,blue-collar,married,secondary,no,200,yes,yes,cellular,6,may,7,344,2,failure,no,1,1.6094379124341005,1.0986122886681098
71,blue-collar,married,primary,no,840,yes,no,cellular,29,jan,4,265,1,failure,no,1,0.6931471805599453,0.6931471805599453
67,management,married,secondary,no,9746,no,no,telephone,6,feb,9,213,9,failure,no,1,1.9459101490553128,2.302585092994046
51,unemployed,single,secondary,no,3612,yes,no,cellular,11,may,9,-1,0,no_previous_contact,no,0,1.9459101490553128,0.0
50,management,married,tertiary,no,1850,no,no,cellular,8,jun,7,-1,0,no_previous_contact,yes,0,1.6094379124341005,0.0
58,services,married,secondary,no,2900,yes,no,unknown,4,jun,5,-1,0,no_previous_contact,no,0,1.0986122886681098,0.0
60,blue-collar,married,secondary,no,5288,yes,no,cellular,21,nov,5,-1,0,no_previous_contact,no,0,1.0986122886681098,0.0
48,student,single,secondary,no,1412,yes,no,cellular,4,feb,5,-1,0,no_previous_contact,no,0,1.0986122886681098,0.0
55,technician,married,secondary,no,1388,yes,no,cellular,10,aug,7,68,11,success,no,1,1.6094379124341005,2.4849066497880004
63,services,married,secondary,no,5754,yes,no,cellular,18,nov,4,168,1,failure,no,1,0.6931471805599453,0.6931471805599453
70,technician,married,secondary,no,1034,yes,yes,cellular,6,feb,6,263,4,failure,no,1,1.3862943611198906,1.6094379124341005
45,admin.,married,secondary,no,30,yes,no,unknown,9,may,4,-1,0,no_previous_contact,no,0,0.6931471805599453,0.0
54,blue-collar,single,secondary,no,3344,yes,no,cellular,20,apr,4,648,1,failure,yes,1,0.6931471805599453,0.6931471805599453
37,services,single,unknown,no,1478,no,no,unknown,20,aug,4,-1,0,no_previous_contact,no,0,0.6931471805599453,0.0
44,management,married,tertiary,no,3426,yes,no,cellular,4,feb,5,-1,0,no_previous_contact,no,0,1.0986122886681098,0.0
