age,job,marital,education,default,balance,housing,loan,contact,day_of_week,month,campaign,pdays,previous,poutcome,y,had_previous_contact,campaign_log,previous_log
32,blue-collar,married,secondary,no,1779,yes,no,cellular,13,may,1,342,2,failure,no,1,0.6931471805599453,1.0986122886681098
45,management,married,tertiary,no,324,no,no,cellular,13,aug,4,-1,0,no_previous_contact,no,0,1.6094379124341003,0.0
33,blue-collar,married,secondary,no,-10,yes,no,unknown,6,may,1,-1,0,no_previous_contact,no,0,0.6931471805599453,0.0
32,technician,single,secondary,no,271,yes,no,cellular,13,may,2,268,2,other,no,1,1.0986122886681098,1.0986122886681098
34,technician,divorced,secondary,no,136,yes,no,cellular,8,may,2,-1,0,no_previous_contact,no,0,1.0986122886681098,0.0
35,management,married,tertiary,no,2461,no,no,cellular,15,jun,2,81,4,other,no,1,1.0986122886681098,1.6094379124341003
28,admin.,single,secondary,no,-281,yes,no,cellular,8,may,4,340,4,other,no,1,1.6094379124341003,1.6094379124341003
54,technician,single,tertiary,no,467,yes,no,cellular,18,jul,3,-1,0,no_previous_contact,yes,0,1.3862943611198906,0.0
21,student,single,secondary,no,491,no,no,cellular,6,aug,1,-1,0,no_previous_contact,no,0,0.6931471805599453,0.0
45,technician,married,secondary,no,2922,no,no,cellular,30,jul,3,-1,0,no_previous_contact,no,0,1.3862943611198906,0.0
34,technician,single,secondary,no,27,no,no,cellular,12,aug,9,-1,0,no_previous_contact,no,0,2.302585092994046,0.0
41,unemployed,single,primary,no,2171,no,no,telephone,31,jul,2,-1,0,no_previous_contact,no,0,1.0986122886681098,0.0
40,management,married,tertiary,no,2763,yes,no,cellular,2,jul,1,395,2,success,yes,1,0.6931471805599453,1.0986122886681098
37,blue-collar,married,secondary,no,2848,yes,no,cellular,16,apr,2,147,3,failure,no,1,1.0986122886681098,1.3862943611198906
28,management,single,tertiary,no,2725,no,no,cellular,16,jun,1,504,1,failure,yes,1,0.6931471805599453,0.6931471805599453
58,blue-collar,married,primary,no,4354,yes,no,cellular,22,aug,7,-1,0,no_previous_contact,no,0,2.0794415416798357,0.0
51,management,divorced,tertiary,no,-2282,yes,yes,cellular,14,jul,6,-1,0,no_previous_contact,no,0,1.9459101490553132,0.0
24,unemployed,single,secondary,no,2696,no,no,cellular,7,sep,2,-1,0,no_previous_contact,no,0,1.0986122886681098,0.0
43,management,married,tertiary,no,-334,yes,no,cellular,7,aug,1,-1,0,no_previous_contact,no,0,0.6931471805599453,0.0
41,services,married,secondary,no,428,no,no,cellular,31,jul,2,-1,0,no_previous_contact,no,0,1.0986122886681098,0.0
34,technician,married,tertiary,no,0,no,no,cellular,11,aug,4,-1,0,no_previous_contact,no,0,1.6094379124341003,0.0
42,technician,divorced,secondary,no,12584,no,no,cellular,19,aug,25,-1,0,no_previous_contact,no,0,3.258096538021482,0.0
34,housemaid,married,primary,no,4,no,no,cellular,20,aug,4,-1,0,no_previous_contact,no,0,1.6094379124341003,0.0
53,entrepreneur,married,secondary,no,0,yes,no,cellular,22,jul,1,-1,0,no_previous_contact,no,0,0.6931471805599453,0.0
29,blue-collar,single,secondary,yes,-580,yes,no,unknown,23,jun,2,-1,0,no_previous_contact,no,0,1.0986122886681098,0.0
39,management,married,secondary,no,46,yes,no,cellular,26,aug,10,-1,0,no_previous_contact,no,0,2.3978952727983707,0.0
31,blue-collar,married,secondary,no,0,yes,no,unknown,20,may,1,-1,0,no_previous_contact,no,0,0.6931471805599453,0.0
34,services,married,secondary,no,2021,yes,yes,cellular,17,apr,6,148,8,other,no,1,1.9459101490553132,2.1972245773362196
40,blue-collar,married,secondary,no,3131,yes,no,cellular,24,jul,1,-1,0,no_previous_contact,no,0,0.6931471805599453,0.0
58,retired,married,secondary,no,-205,yes,no,unknown,23,may,2,-1,0,no_previous_contact,no,0,1.0986122886681098,0.0
31,management,single,tertiary,no,220,yes,no,cellular,4,nov,2,184,2,failure,no,1,1.0986122886681098,1.0986122886681098
32,management,married,tertiary,no,3517,yes,no,unknown,27,may,5,-1,0,no_previous_contact,no,0,1.791759469228055,0.0
29,admin.,married,tertiary,no,332,no,no,cellular,9,apr,1,-1,0,no_previous_contact,yes,0,0.6931471805599453,0.0
30,services,married,secondary,no,586,yes,no,unknown,28,may,4,-1,0,no_previous_contact,no,0,1.6094379124341003,0.0
35,blue-collar,married,primary,no,-210,yes,yes,telephone,7,apr,3,-1,0,no_previous_contact,no,0,1.3862943611198906,0.0
44,management,married,tertiary,no,1286,yes,no,unknown,20,jun,3,-1,0,no_previous_contact,no,0,1.3862943611198906,0.0
33,blue-collar,married,primary,no,1309,yes,no,unknown,13,may,1,-1,0,no_previous_contact,no,0,0.6931471805599453,0.0
45,retired,divorced,primary,no,261,no,no,unknown,9,jun,1,-1,0,no_previous_contact,no,0,0.6931471805599453,0.0
52,admin.,single,secondary,no,1964,no,yes,unknown,28,may,1,-1,0,no_previous_contact,no,0,0.6931471805599453,0.0
40,unemployed,married,tertiary,no,2430,no,no,cellular,24,aug,2,-1,0,no_previous_contact,no,0,1.0986122886681098,0.0
38,services,married,secondary,no,503,no,no,unknown,20,jun,4,-1,0,no_previous_contact,no,0,1.6094379124341003,0.0
51,management,married,tertiary,no,615,yes,no,cellular,17,apr,1,-1,0,no_previous_contact,no,0,0.6931471805599453,0.0
54,admin.,married,secondary,no,0,no,no,cellular,27,jan,1,-1,0,no_previous_contact,yes,0,0.6931471805599453,0.0
36,blue-collar,divorced,primary,no,666,yes,no,cellular,11,may,1,-1,0,no_previous_contact,no,0,0.6931471805599453,0.0
44,entrepreneur,married,tertiary,no,1,yes,no,cellular,13,may,2,-1,0,no_previous_contact,no,0,1.0986122886681098,0.0
56,management,divorced,primary,no,7496,no,no,unknown,9,jun,3,-1,0,no_previous_contact,no,0,1.3862943611198906,0.0
50,management,divorced,tertiary,no,738,yes,yes,unknown,29,may,1,-1,0,no_previous_contact,no,0,0.6931471805599453,0.0
40,admin.,single,secondary,no,-186,yes,yes,cellular,11,jul,2,-1,0,no_previous_contact,no,0,1.0986122886681098,0.0
39,services,married,secondary,no,1438,yes,no,unknown,20,may,2,-1,0,no_previous_contact,no,0,1.0986122886681098,0.0
43,management,married,tertiary,no,1751,yes,no,cellular,21,nov,4,-1,0,no_previous_contact,no,0,1.6094379124341003,0.0
36,unemployed,married,secondary,no,439,yes,no,telephone,6,feb,6,-1,0,no_previous_contact,no,0,1.9459101490553132,0.0
26,technician,married,tertiary,no,233,yes,no,cellular,25,jul,1,-1,0,no_previous_contact,no,0,0.6931471805599453,0.0
36,management,married,tertiary,no,0,yes,no,cellular,8,may,3,-1,0,no_previous_contact,yes,0,1.3862943611198906,0.0
35,admin.,married,primary,no,1994,no,no,cellular,9,jul,1,-1,0,no_previous_contact,no,0,0.6931471805599453,0.0
35,management,married,tertiary,no,-4,no,no,cellular,8,aug,2,-1,0,no_previous_contact,no,0,1.0986122886681098,0.0
46,blue-collar,married,primary,no,588,yes,no,cellular,26,aug,4,-1,0,no_previous_contact,no,0,1.6094379124341003,0.0
38,technician,married,secondary,no,750,yes,no,unknown,27,may,2,-1,0,no_previous_contact,no,0,1.0986122886681098,0.0
37,blue-collar,married,primary,no,643,yes,yes,cellular,2,feb,3,269,3,other,no,1,1.3862943611198906,1.3862943611198906
32,technician,married,secondary,no,14,no,no,cellular,22,aug,6,-1,0,no_previous_contact,no,0,1.9459101490553132,0.0
33,blue-collar,married,primary,no,-219,yes,no,cellular,17,apr,1,-1,0,no_previous_contact,no,0,0.6931471805599453,0.0
42,blue-collar,married,secondary,no,1657,yes,yes,cellular,17,nov,1,-1,0,no_previous_contact,no,0,0.6931471805599453,0.0
24,technician,married,secondary,no,691,yes,no,unknown,19,jun,2,-1,0,no_previous_contact,no,0,1.0986122886681098,0.0
55,technician,married,tertiary,no,804,no,no,cellular,31,jul,5,-1,0,no_previous_contact,no,0,1.791759469228055,0.0
40,management,single,tertiary,no,27,no,no,cellular,27,aug,6,-1,0,no_previous_contact,no,0,1.9459101490553132,0.0
28,admin.,married,secondary,no,511,no,no,cellular,28,jan,1,-1,0,no_previous_contact,no,0,0.6931471805599453,0.0
37,blue-collar,married,secondary,no,3420,yes,no,cellular,12,may,1,301,2,failure,no,1,0.6931471805599453,1.0986122886681098
48,blue-collar,married,secondary,no,750,no,no,cellular,5,feb,2,8,2,other,no,1,1.0986122886681098,1.0986122886681098
35,admin.,divorced,secondary,no,0,no,yes,cellular,14,jul,2,-1,0,no_previous_contact,no,0,1.0986122886681098,0.0
43,admin.,single,unknown,no,87,yes,no,unknown,7,may,2,-1,0,no_previous_contact,no,0,1.0986122886681098,0.0
29,blue-collar,single,secondary,no,482,no,no,cellular,20,apr,2,-1,0,no_previous_contact,no,0,1.0986122886681098,0.0
58,blue-collar,divorced,primary,no,820,yes,no,cellular,7,jul,4,-1,0,no_previous_contact,no,0,1.6094379124341003,0.0
36,entrepreneur,married,secondary,no,419,yes,no,cellular,8,apr,3,-1,0,no_previous_contact,no,0,1.3862943611198906,0.0
27,blue-collar,single,secondary,no,-116,yes,yes,cellular,17,apr,2,343,1,failure,no,1,1.0986122886681098,0.6931471805599453
37,student,single,secondary,no,681,no,no,cellular,5,feb,1,8,1,other,no,1,0.6931471805599453,0.6931471805599453
41,admin.,married,secondary,no,1010,yes,no,cellular,17,apr,1,338,1,failure,no,1,0.6931471805599453,0.6931471805599453
58,blue-collar,married,secondary,no,535,no,no,unknown,9,jun,4,-1,0,no_previous_contact,no,0,1.6094379124341003,0.0
37,housemaid,married,secondary,no,942,no,no,unknown,17,jun,1,-1,0,no_previous_contact,no,0,0.6931471805599453,0.0
55,management,married,tertiary,no,10065,no,no,unknown,27,may,3,-1,0,no_previous_contact,no,0,1.3862943611198906,0.0
38,technician,single,tertiary,no,2273,yes,no,cellular,17,apr,1,-1,0,no_previous_contact,no,0,0.6931471805599453,0.0
46,management,married,tertiary,no,48,no,no,unknown,13,may,1,-1,0,no_previous_contact,no,0,0.6931471805599453,0.0
42,admin.,divorced,secondary,no,527,no,yes,cellular,20,apr,1,-1,0,no_previous_contact,yes,0,0.6931471805599453,0.0
36,services,single,secondary,no,-45,yes,no,unknown,8,may,1,-1,0,no_previous_contact,no,0,0.6931471805599453,0.0
36,student,single,secondary,no,904,no,no,telephone,5,feb,9,8,13,other,no,1,2.302585092994046,2.6390573296152584
33,technician,divorced,secondary,no,791,yes,no,cellular,24,jul,2,-1,0,no_previous_contact,no,0,1.0986122886681098,0.0
30,admin.,married,secondary,no,521,yes,no,cellular,19,nov,1,-1,0,no_previous_contact,no,0,0.6931471805599453,0.0
44,blue-collar,single,secondary,no,25,yes,no,cellular,12,may,3,-1,0,no_previous_contact,no,0,1.3862943611198906,0.0
45,blue-collar,married,primary,no,1558,yes,no,cellular,6,may,1,-1,0,no_previous_contact,no,0,0.6931471805599453,0.0
27,blue-collar,single,secondary,no,240,yes,no,cellular,18,may,4,-1,0,no_previous_contact,no,0,1.6094379124341003,0.0
41,technician,married,tertiary,no,-762,yes,yes,unknown,23,may,1,-1,0,no_previous_contact,no,0,0.6931471805599453,0.0
34,blue-collar,married,secondary,no,262,no,no,cellular,15,sep,2,106,1,success,yes,1,1.0986122886681098,0.6931471805599453
32,blue-collar,married,secondary,no,944,no,no,cellular,13,may,2,362,1,other,no,1,1.0986122886681098,0.6931471805599453
46,technician,married,tertiary,no,4176,yes,no,unknown,12,jun,6,-1,0,no_previous_contact,no,0,1.9459101490553132,0.0
34,technician,single,secondary,no,5039,no,no,cellular,20,nov,6,-1,0,no_previous_contact,no,0,1.9459101490553132,0.0
55,management,married,unknown,no,0,no,no,unknown,5,jun,2,-1,0,no_previous_contact,no,0,1.0986122886681098,0.0
